"x","y","wl"
12.1183522401708,54.0780710893093,27.7401193821378
12.1186572401708,54.0780710893093,27.7401851872655
12.1189622401708,54.0780710893093,27.7402218364056
12.1192672401708,54.0780710893093,27.7402603872575
12.1195722401708,54.0780710893093,27.7403067947449
12.1183522401708,54.0778910893093,27.7401178735481
12.1186572401708,54.0778910893093,27.7401612722357
12.1189622401708,54.0778910893093,27.740209938783
12.1192672401708,54.0778910893093,27.7402628181817
12.1195722401708,54.0778910893093,27.7403052178011
12.1183522401708,54.0777110893093,27.7401028659571
12.1186572401708,54.0777110893093,27.7401464435174
12.1189622401708,54.0777110893093,27.7401991362908
12.1192672401708,54.0777110893093,27.7402532052493
12.1195722401708,54.0777110893093,27.7402951515361
12.1183522401708,54.0775310893093,27.7401040931312
12.1186572401708,54.0775310893093,27.7401386499978
12.1189622401708,54.0775310893093,27.7401888685173
12.1192672401708,54.0775310893093,27.7402334380165
12.1195722401708,54.0775310893093,27.7402904817913
12.1183522401708,54.0773510893093,27.7401028534613
12.1186572401708,54.0773510893093,27.7401426561687
12.1189622401708,54.0773510893093,27.7401784295771
12.1192672401708,54.0773510893093,27.7402285434971
