,result.end_device_ids.device_id,result.received_at,result.uplink_message.decoded_payload.conduct_SOIL,result.uplink_message.decoded_payload.temp_SOIL,result.uplink_message.decoded_payload.water_SOIL,result.uplink_message.locations.user.latitude,result.uplink_message.locations.user.longitude
56,uni-gent-23,2023-01-29T13:10:07.754615554Z,185,19.80,18.45,50.69193131140707,4.218750000000001
57,uni-gent-24,2023-01-29T13:00:08.023709666Z,639,19.70,23.63,50.9390460271824,4.4384765625
58,uni-gent-24,2023-01-29T12:40:08.046279490Z,640,19.69,23.64,50.9390460271824,4.4384765625
59,uni-gent-23,2023-01-29T12:29:59.764910879Z,186,19.75,18.46,50.69193131140707,4.218750000000001
60,uni-gent-23,2023-01-29T12:10:07.791044445Z,187,19.73,18.48,50.69193131140707,4.218750000000001
61,uni-gent-23,2023-01-29T11:49:59.788337296Z,187,19.72,18.50,50.69193131140707,4.218750000000001
62,uni-gent-24,2023-01-29T11:20:08.195450053Z,643,19.62,23.71,50.9390460271824,4.4384765625
63,uni-gent-23,2023-01-29T10:50:15.859788311Z,188,19.68,18.58,50.69193131140707,4.218750000000001
64,uni-gent-24,2023-01-29T10:20:08.317855322Z,644,19.61,23.73,50.9390460271824,4.4384765625
65,uni-gent-23,2023-01-29T10:09:59.702810779Z,189,19.65,18.59,50.69193131140707,4.218750000000001
66,uni-gent-23,2023-01-29T09:50:07.874313561Z,189,19.63,18.60,50.69193131140707,4.218750000000001
67,uni-gent-23,2023-01-29T09:30:15.868968783Z,189,19.63,18.60,50.69193131140707,4.218750000000001
68,uni-gent-24,2023-01-29T09:00:08.468234440Z,646,19.59,23.76,50.9390460271824,4.4384765625
69,uni-gent-23,2023-01-29T08:30:15.896489173Z,191,19.62,18.66,50.69193131140707,4.218750000000001
70,uni-gent-24,2023-01-29T07:40:08.612269893Z,649,19.59,23.82,50.9390460271824,4.4384765625
71,uni-gent-23,2023-01-29T07:29:59.927362844Z,192,19.61,18.71,50.69193131140707,4.218750000000001
72,uni-gent-23,2023-01-29T05:49:59.970220118Z,193,19.62,18.77,50.69193131140707,4.218750000000001
73,uni-gent-24,2023-01-29T05:00:08.924321951Z,653,19.60,23.89,50.9390460271824,4.4384765625
